Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
1012024,2024-20251400511000,14005,1,12/8/2025 14:09,1000,2024-2025,5512984.08
1012025,2024-20251400511100,14005,1,12/8/2025 14:09,1100,2024-2025,5475941.1
1012026,2024-20251400511300,14005,1,12/8/2025 14:09,1300,2024-2025,2592.63
1012027,2024-20251400511400,14005,1,12/8/2025 14:09,1400,2024-2025,2708.99
1012028,2024-20251400511500,14005,1,12/8/2025 14:09,1500,2024-2025,31741.36
1012031,2024-20251400512000,14005,1,12/8/2025 14:09,2000,2024-2025,575091.51
1012032,2024-20251400512100,14005,1,12/8/2025 14:09,2100,2024-2025,2667
1012034,2024-20251400512131,14005,1,12/8/2025 14:09,2131,2024-2025,870
1012035,2024-20251400512145,14005,1,12/8/2025 14:09,2145,2024-2025,2105
1012039,2024-20251400512188,14005,1,12/8/2025 14:09,2188,2024-2025,48765.61
1012040,2024-20251400512200,14005,1,12/8/2025 14:09,2200,2024-2025,7980.78
1012041,2024-20251400512231,14005,1,12/8/2025 14:09,2231,2024-2025,104831.88
1012042,2024-20251400512245,14005,1,12/8/2025 14:09,2245,2024-2025,150
1012043,2024-20251400512288,14005,1,12/8/2025 14:09,2288,2024-2025,4126.87
1012044,2024-20251400512289,14005,1,12/8/2025 14:09,2289,2024-2025,13887.79
1012045,2024-20251400512298,14005,1,12/8/2025 14:09,2298,2024-2025,15799.4
1012046,2024-20251400512300,14005,1,12/8/2025 14:09,2300,2024-2025,64720.4
1012049,2024-20251400512500,14005,1,12/8/2025 14:09,2500,2024-2025,282365.32
1012050,2024-20251400512600,14005,1,12/8/2025 14:09,2600,2024-2025,3677.18
1012053,2024-20251400512900,14005,1,12/8/2025 14:09,2900,2024-2025,23144.28
1012055,2024-20251400513000,14005,1,12/8/2025 14:09,3000,2024-2025,34120576.13
1012056,2024-20251400513100,14005,1,12/8/2025 14:09,3100,2024-2025,30213408.36
1012057,2024-20251400513121,14005,1,12/8/2025 14:09,3121,2024-2025,1319180.65
1012058,2024-20251400513300,14005,1,12/8/2025 14:09,3300,2024-2025,2587987.12
1012061,2024-20251400514000,14005,1,12/8/2025 14:09,4000,2024-2025,15409453.33
1012062,2024-20251400514100,14005,1,12/8/2025 14:09,4100,2024-2025,39251
1012063,2024-20251400514109,14005,1,12/8/2025 14:09,4109,2024-2025,70649.96
1012064,2024-20251400514121,14005,1,12/8/2025 14:09,4121,2024-2025,6435051.45
1012069,2024-20251400514155,14005,1,12/8/2025 14:09,4155,2024-2025,2468813.46
1012070,2024-20251400514156,14005,1,12/8/2025 14:09,4156,2024-2025,359360.47
1012071,2024-20251400514158,14005,1,12/8/2025 14:09,4158,2024-2025,630441.67
1012073,2024-20251400514165,14005,1,12/8/2025 14:09,4165,2024-2025,780235.53
1012074,2024-20251400514174,14005,1,12/8/2025 14:09,4174,2024-2025,96620.82
1012076,2024-20251400514198,14005,1,12/8/2025 14:09,4198,2024-2025,246122.97
1012077,2024-20251400514199,14005,1,12/8/2025 14:09,4199,2024-2025,1835599.83
1012078,2024-20251400514300,14005,1,12/8/2025 14:09,4300,2024-2025,7500
1012079,2024-20251400514321,14005,1,12/8/2025 14:09,4321,2024-2025,159135.52
1012083,2024-20251400514358,14005,1,12/8/2025 14:09,4358,2024-2025,37070.6
1012085,2024-20251400514388,14005,1,12/8/2025 14:09,4388,2024-2025,2199073.4
1012086,2024-20251400514398,14005,1,12/8/2025 14:09,4398,2024-2025,37728.95
1012087,2024-20251400514399,14005,1,12/8/2025 14:09,4399,2024-2025,6797.7
1012088,2024-20251400515000,14005,1,12/8/2025 14:09,5000,2024-2025,7690.82
1012093,2024-20251400515500,14005,1,12/8/2025 14:09,5500,2024-2025,7690.82
1012096,2024-20251400516000,14005,1,12/8/2025 14:09,6000,2024-2025,6557642.67
1012108,2024-20251400516124,14005,1,12/8/2025 14:09,6124,2024-2025,940745.18
1012110,2024-20251400516138,14005,1,12/8/2025 14:09,6138,2024-2025,49182.88
