District Name,County,Year,Enrollment,Total Revenue,State Revenue,Local Revenue,Federal Revenue,Other Revenue,State %,Local %,Federal %,Per Pupil Revenue
Auburn School District,King,2024-25,16458,338617238,254411559,50502325,32325275,1378079,75.1,14.9,9.5,20574
Bellevue School District,King,2024-25,19856,392557543,260169684,80443258,13827793,38116807,66.3,20.5,3.5,19770
Federal Way Public Schools,King,2024-25,21845,412054824,312269965,44018023,48524067,7242770,75.8,10.7,11.8,18864
Kent School District,King,2024-25,24789,524769262,377804928,81106495,64086848,1770990,72.0,15.5,12.2,21170
Lake Washington School District,King,2024-25,29856,545825809,414012816,107657838,13157767,10997388,75.9,19.7,2.4,18283
Seattle Public Schools,King,2024-25,49234,1125335672,748995918,215052094,75933215,85354445,66.6,19.1,6.7,22858
Spokane Public Schools,Spokane,2024-25,27845,566541427,389277309,92435830,78795172,6033116,68.7,16.3,13.9,20347
Tacoma Public Schools,Pierce,2024-25,26458,555093933,389320761,84497513,68681250,12594409,70.1,15.2,12.4,20980
Yakima School District,Yakima,2024-25,15234,278174822,221360334,18637066,37912696,264726,79.6,6.7,13.6,18262
Vancouver Public Schools,Clark,2024-25,22156,401895024,294620122,59376348,36564624,11333930,73.3,14.8,9.1,18140
Renton School District,King,2024-25,15125,299200380,219116523,45413589,32178948,2491320,73.2,15.2,10.8,19781
Northshore School District,King,2024-25,20845,417279745,312723124,76333642,13842059,14380921,74.9,18.3,3.3,20018
Issaquah School District,King,2024-25,21234,365362438,258202897,82042634,9438087,15678820,70.7,22.5,2.6,17208
Puyallup School District,Pierce,2024-25,22458,407350612,309274886,70908057,25380827,1786841,75.9,17.4,6.2,18140
Highline School District,King,2024-25,17234,388647997,273489257,60142516,47724352,7291872,70.4,15.5,12.3,22550
Mercer Island School District,King,2024-25,4521,76337164,53004051,17748885,1581995,4002233,69.4,23.3,2.1,16885
Bethel School District,Pierce,2024-25,18956,378456157,291472077,46331045,39702762,950272,77.0,12.2,10.5,19964
Everett School District,Snohomish,2024-25,19845,393104226,292783096,67405466,21704586,11211078,74.5,17.1,5.5,19809
Edmonds School District,Snohomish,2024-25,18756,402279449,295220566,70654274,21235821,15168788,73.4,17.6,5.3,21448
Olympia School District,Thurston,2024-25,9845,166028397,122745027,31776260,9618166,1888944,73.9,19.1,5.8,16864
Richland School District,Benton,2024-25,13456,231273151,178195078,40056438,12936635,85000,77.0,17.3,5.6,17186
Kennewick School District,Benton,2024-25,18234,321999335,256509758,16866560,47579907,1043110,79.7,5.2,14.8,17659
Pasco School District,Franklin,2024-25,18956,309965183,253026405,25377771,29500044,2060962,81.6,8.2,9.5,16351
Bellingham School District,Whatcom,2024-25,11234,206158709,147612140,39445958,14373598,4727014,71.6,19.1,7.0,18352
Mead School District,Spokane,2024-25,10845,163288350,131543906,22053211,9463338,227895,80.6,13.5,5.8,15057
Central Valley School District,Spokane,2024-25,14234,242317940,191898770,37024332,13241733,153105,79.2,15.3,5.5,17024
