Accounting Item Id,Actuals General Fund Revenues Id,County District Code,Fund Code,Last Updated,Revenue Code,School Year Code,Amount
902464,2023-20241400511000,14005,1,11/19/2024 4:47:42 PM,1000,2023-2024,5144445.41
902465,2023-20241400511100,14005,1,11/19/2024 4:47:42 PM,1100,2023-2024,5106524.95
902466,2023-20241400511300,14005,1,11/19/2024 4:47:42 PM,1300,2023-2024,3352.77
902467,2023-20241400511400,14005,1,11/19/2024 4:47:42 PM,1400,2023-2024,2896.91
902468,2023-20241400511500,14005,1,11/19/2024 4:47:42 PM,1500,2023-2024,31670.78
902471,2023-20241400512000,14005,1,11/19/2024 4:47:42 PM,2000,2023-2024,583745.82
902472,2023-20241400512100,14005,1,11/19/2024 4:47:42 PM,2100,2023-2024,1920
902474,2023-20241400512131,14005,1,11/19/2024 4:47:42 PM,2131,2023-2024,2032.01
902475,2023-20241400512145,14005,1,11/19/2024 4:47:42 PM,2145,2023-2024,3436
902479,2023-20241400512188,14005,1,11/19/2024 4:47:42 PM,2188,2023-2024,26265
902480,2023-20241400512200,14005,1,11/19/2024 4:47:42 PM,2200,2023-2024,4674.85
902481,2023-20241400512231,14005,1,11/19/2024 4:47:42 PM,2231,2023-2024,109469.38
902482,2023-20241400512245,14005,1,11/19/2024 4:47:42 PM,2245,2023-2024,155
902483,2023-20241400512288,14005,1,11/19/2024 4:47:42 PM,2288,2023-2024,95189.38
902484,2023-20241400512289,14005,1,11/19/2024 4:47:42 PM,2289,2023-2024,13568.93
902485,2023-20241400512298,14005,1,11/19/2024 4:47:42 PM,2298,2023-2024,15017.14
902486,2023-20241400512300,14005,1,11/19/2024 4:47:42 PM,2300,2023-2024,34482.84
902489,2023-20241400512500,14005,1,11/19/2024 4:47:42 PM,2500,2023-2024,245604.27
902490,2023-20241400512600,14005,1,11/19/2024 4:47:42 PM,2600,2023-2024,4318.23
902493,2023-20241400512900,14005,1,11/19/2024 4:47:42 PM,2900,2023-2024,27612.79
902496,2023-20241400513000,14005,1,11/19/2024 4:47:42 PM,3000,2023-2024,33063016.34
902497,2023-20241400513100,14005,1,11/19/2024 4:47:42 PM,3100,2023-2024,29766023.37
902498,2023-20241400513121,14005,1,11/19/2024 4:47:42 PM,3121,2023-2024,840044.64
902499,2023-20241400513300,14005,1,11/19/2024 4:47:42 PM,3300,2023-2024,2456948.33
902502,2023-20241400514000,14005,1,11/19/2024 4:47:42 PM,4000,2023-2024,14924453.87
902503,2023-20241400514100,14005,1,11/19/2024 4:47:42 PM,4100,2023-2024,49200
902505,2023-20241400514121,14005,1,11/19/2024 4:47:42 PM,4121,2023-2024,6498375.16
902510,2023-20241400514155,14005,1,11/19/2024 4:47:42 PM,4155,2023-2024,2365860.29
902511,2023-20241400514156,14005,1,11/19/2024 4:47:42 PM,4156,2023-2024,324392.27
902512,2023-20241400514158,14005,1,11/19/2024 4:47:42 PM,4158,2023-2024,525907.11
902514,2023-20241400514165,14005,1,11/19/2024 4:47:42 PM,4165,2023-2024,747195.03
902515,2023-20241400514174,14005,1,11/19/2024 4:47:42 PM,4174,2023-2024,94327.41
902517,2023-20241400514198,14005,1,11/19/2024 4:47:42 PM,4198,2023-2024,178875.07
902518,2023-20241400514199,14005,1,11/19/2024 4:47:42 PM,4199,2023-2024,1780765.59
902519,2023-20241400514300,14005,1,11/19/2024 4:47:42 PM,4300,2023-2024,7500
902520,2023-20241400514321,14005,1,11/19/2024 4:47:42 PM,4321,2023-2024,58145.87
902524,2023-20241400514358,14005,1,11/19/2024 4:47:42 PM,4358,2023-2024,29642.26
902526,2023-20241400514388,14005,1,11/19/2024 4:47:42 PM,4388,2023-2024,2247496.76
902527,2023-20241400514398,14005,1,11/19/2024 4:47:42 PM,4398,2023-2024,16771.05
902529,2023-20241400515000,14005,1,11/19/2024 4:47:42 PM,5000,2023-2024,45456.57
902534,2023-20241400515500,14005,1,11/19/2024 4:47:42 PM,5500,2023-2024,45456.57
902536,2023-20241400516000,14005,1,11/19/2024 4:47:42 PM,6000,2023-2024,11411319.89
902541,2023-20241400516113,14005,1,11/19/2024 4:47:42 PM,6113,2023-2024,4730618.97
902548,2023-20241400516124,14005,1,11/19/2024 4:47:42 PM,6124,2023-2024,987963.55
902550,2023-20241400516138,14005,1,11/19/2024 4:47:42 PM,6138,2023-2024,56327.04
902552,2023-20241400516151,14005,1,11/19/2024 4:47:42 PM,6151,2023-2024,1709181.16
902553,2023-20241400516152,14005,1,11/19/2024 4:47:42 PM,6152,2023-2024,956106.84
902554,2023-20241400516153,14005,1,11/19/2024 4:47:42 PM,6153,2023-2024,111575.75
902651,2023-20243101518500,31015,1,11/19/2024 4:47:42 PM,8500,2023-2024,402.24
902646,2023-20243101518188,31015,1,11/19/2024 4:47:42 PM,8188,2023-2024,1310436
902644,2023-20243101518100,31015,1,11/19/2024 4:47:42 PM,8100,2023-2024,1714349.78
902643,2023-20243101518000,31015,1,11/19/2024 4:47:42 PM,8000,2023-2024,3025188.02
902641,2023-20243101517199,31015,1,11/19/2024 4:47:42 PM,7199,2023-2024,86.35
902633,2023-20243101517121,31015,1,11/19/2024 4:47:42 PM,7121,2023-2024,4636954.52
902631,2023-20243101517000,31015,1,11/19/2024 4:47:42 PM,7000,2023-2024,4637040.87
902630,2023-20243101516998,31015,1,11/19/2024 4:47:42 PM,6998,2023-2024,958248.88
902607,2023-20243101516321,31015,1,11/19/2024 4:47:42 PM,6321,2023-2024,406255.62
902603,2023-20243101516313,31015,1,11/19/2024 4:47:42 PM,6313,2023-2024,7790
902601,2023-20243101516311,31015,1,11/19/2024 4:47:42 PM,6311,2023-2024,817809.61
902592,2023-20243101516268,31015,1,11/19/2024 4:47:42 PM,6268,2023-2024,18724
902569,2023-20243101516210,31015,1,11/19/2024 4:47:42 PM,6210,2023-2024,166280.4
